NetID,Email,Number,Birth,Gender,Fname,Mname,Lname
ZD4074,ZD4074ATnyu.edu,93125497,2001-7-10,M,OWUO,BUBG,YFOZ
WK5664,WK5664ATnyu.edu,58438162,1999-3-18,F,SMDH,PVJC,GAML
TI8820,TI8820ATnyu.edu,46104191,2002-3-8,M,IKHH,VVYW,ENTR
GJ770,GJ770ATnyu.edu,55328635,1997-5-13,F,DFCX,CKTO,UXZT
DF579,DF579ATnyu.edu,74004039,2000-10-17,F,KUUL,DJNA,NCTJ
NC6745,NC6745ATnyu.edu,9385035,1999-12-21,M,XQQX,KXRL,XEBU
CO8212,CO8212ATnyu.edu,80569707,2001-2-25,F,OWAF,BBDW,AGFV
ZS3388,ZS3388ATnyu.edu,31941787,1996-12-24,F,HHMT,LJMP,ZIVA
SI9690,SI9690ATnyu.edu,34389169,1997-8-29,M,ZTZP,ZWIW,WROV
JP4009,JP4009ATnyu.edu,34340684,2003-6-4,M,WEAT,XEUF,EDPR
JN1054,JN1054ATnyu.edu,78558485,1998-7-8,F,UZAL,UFES,CIGO
